cpm10	Use of Weapons
mbt_dm2	House of the rising sun
mg_final	Mystic Gemini
oxodm134	Monastery
mptourney1	mptourney1
oxodm63	Namelessplace
ospdm5a	Deep Inside
ospca1	American CANCo
ospctf1	White Noise  F3 Edition
ospctf2	Crossed Paths  F3 Edition
ospdm1	New Edge
ospdm10	Apologie
ospdm11	The Olden Domain
ospdm12	Deschutes
ospdm2	Batcula
ospdm3	Scrap Metal   Tourney Edition 
ospdm4	Bitter Embrace  Tourney Edition 
ospdm5	Deep Inside
ospdm6	Suicide by DruZli
ospdm7	The Dancehall
ospdm8	The Chastity Belt Duel Orange remix
ospdm9	Anticipating Oblivion  Tourney Edition 
overkill	Overkill
phantq3dm3_rev	Corrosion
pom_bots	Pyramid Of the Bots
pro-q3tourney7	Almost Lost
pukka3tourney2	pukka3tourney2 beta
pukka3tourney7	Tortured by thefury
purgatory	purgatory
q3deck	Deck
q3dm13t	Lost Space
q3dmp23	Underdog
repent	repent
q3shw24	The Dreadful place
q3skorectf7	q3skorectf7 by David skOre Deutsch
q3whdm1	Tomb of Retaliation  by Wilhelm Hell
q3wcp7	Dynatron  3W
q3wcp8	Harsh Grounds  3W
q3wcp5	Shinning Forces  3W
q3wcp6	Devolved CTF  3W
q3wcp4	Schadenfreude 2001  3W
q3wcp2	Cold Crossings  3W
q3wcp1	Japanese Castles  3w
q3wxs1	Harsh Grounds  3W
q3wcp3	Hot Crossings  3W
q3wcp1	Silly Shootings
q3wcp10	q3wcp10
q3wcp11	q3wcp11
q3wcp12	q3wcp12
q3wcp13	q3wcp13
q3wcp14	q3wcp14
q3wcp15	q3wcp15
q3wcp16	q3wcp16
q3wcp9	q3wcp9
q3wxs2	Silly Shootings
q3w1	Silly CTF
q3w2	q3w2
q3w3	q3w3
q3w4	q3w4
q3w5	q3w5
q3w6	q3w6
q3w7	q3w7
q3w8	q3w8
q3wxs3	Silly CTF
q3wcp18	La Bastir
q3wcp20	q3wcp20
q3wcp19	q3wcp19
q3wcp22	q3wcp22
q3wcp23	q3wcp23
q3wcp24	q3wcp24
q3wcp17	q3wcp17
q3wcp21	q3wcp21
quarantine	quarantine
qzsinister	qzsinister
ra3map1	ra3map1
ra3map1_1	ra3map1_1
ra3map1_2	ra3map1_2
ra3map1_3	ra3map1_3
ra3map1_4	ra3map1_4
ra3map11	ra3map11
ra3map11_4	ra3map11_4
ra3map11_2	ra3map11_2
ra3map11_3	ra3map11_3
ra3map11_1	ra3map11_1
ra3map2	ra3map2
ra3map2_1	ra3map2_1
ra3map2_2	ra3map2_2
ra3map2_3	ra3map2_3
ra3map2_4	ra3map2_4
oxodm121	Repent
oxodm121	Repent
rota3ctf1	Iris
sanctorium	sanctorium
siberia	siberia
silence	silence
solitude	Solitude
sorrow	sorrow
storm3tourney8	Devilish
oxodm22	superspace for Quake 3 from Quake Live
oxodm86	Three Story
tr1ckhouse-beta3	tr1ckhousebeta3
trinity	trinity
oxodm91	Verticalvengeance for Quake 3
ztn3dm1-ho	Blood Run High Octane
ztn3dm1	Blood Run
ztn3tourney1	Blood Run Tournament
